property_id,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,extra,Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable,Require Guest Profile Picture,Require Guest Phone Verification
1,10.0,9.0,10.0,10.0,9.0,10.0,1.31,Host Has Profile Pic,False,True,False,False,False,False,False
2,10.0,10.0,10.0,10.0,8.0,10.0,1.0,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
3,10.0,10.0,9.0,9.0,9.0,10.0,0.75,"Host Has Profile Pic, Is Location Exact, Instant Bookable",False,True,False,True,True,False,False
4,10.0,10.0,10.0,10.0,10.0,10.0,6.9,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Is Location Exact",True,True,True,True,False,False,False
5,10.0,10.0,10.0,10.0,10.0,10.0,4.16,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Is Location Exact",True,True,True,True,False,False,False
6,10.0,8.0,10.0,10.0,9.0,10.0,3.56,"Host Has Profile Pic, Host Identity Verified, Is Location Exact, Instant Bookable",False,True,True,True,True,False,False
7,10.0,9.0,10.0,10.0,10.0,10.0,0.13,Host Has Profile Pic,False,True,False,False,False,False,False
8,10.0,10.0,10.0,10.0,9.0,10.0,2.58,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Instant Bookable",True,True,True,False,True,False,False
9,10.0,10.0,10.0,10.0,9.0,10.0,0.19,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
10,10.0,10.0,9.0,10.0,10.0,10.0,0.91,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
11,10.0,9.0,9.0,10.0,9.0,9.0,0.42,"Host Has Profile Pic, Host Identity Verified",False,True,True,False,False,False,False
12,10.0,10.0,10.0,10.0,10.0,10.0,6.33,"Host Is Superhost, Host Has Profile Pic, Is Location Exact, Instant Bookable",True,True,False,True,True,False,False
13,10.0,10.0,10.0,10.0,10.0,9.0,4.33,"Host Is Superhost, Host Has Profile Pic, Is Location Exact, Instant Bookable",True,True,False,True,True,False,False
14,7.0,8.0,10.0,9.0,8.0,7.0,1.3,"Host Has Profile Pic, Is Location Exact",False,True,False,True,False,False,False
15,10.0,10.0,10.0,10.0,10.0,10.0,2.39,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified, Is Location Exact",True,True,True,True,False,False,False
16,10.0,9.0,10.0,10.0,9.0,9.0,0.24,"Host Is Superhost, Host Has Profile Pic, Host Identity Verified",True,True,True,False,False,False,False
