,property_id,host_about,host_response_time,host_response_rate,host_nr_listings,host_nr_listings_total,host_verified,booking_price_covers,booking_min_nights,booking_max_nights,responsetime_code
0,1,,within a few hours,100%,1.0,1.0,"email, phone, reviews",1,1,1125,3.0
1,2,,within a few hours,50-89%,1.0,1.0,"email, phone, reviews",1,2,15,3.0
2,3,"ik ben een expat die alleen mid weeks in Antwerpen verblijft. Daarnaast ben ik vaak zakelijk op reis. Om andere mensen ook van de gezellige stad Antwerpen te laten genieten stel ik mijn appartement beschikbaar voor verhuur. Ik verblijf slechts 160 dagen per jaar in Antwerpen en daardoor staat mijn appartement vaak ""leeg"".",within an hour,100%,1.0,1.0,"email, phone, reviews",1,2,1125,4.0
3,4,"Hello,  I was born in the Netherlands and i speak 5 languages I have been travelling and working in theater for about 20 years and lived because of that in many different countries. It's a passion of mine to get to know other cultures. Recently my partner and I have settled in Belgium. But the travel bug is still biting.",within an hour,100%,2.0,2.0,"email, phone, facebook, reviews, jumio",1,1,1125,4.0
4,5,"Hello,  I was born in the Netherlands and i speak 5 languages I have been travelling and working in theater for about 20 years and lived because of that in many different countries. It's a passion of mine to get to know other cultures. Recently my partner and I have settled in Belgium. But the travel bug is still biting.",within an hour,100%,2.0,2.0,"email, phone, facebook, reviews, jumio",1,1,1125,4.0
5,6,"Clara est Graphiste et Thibaut musicien.  Nous y vivons avec notre chiot Marcel et nos deux chats, Padawan et Molly .  Nous adorons voyager, travailler et rencontrer toujours de nouvelles personnes . Que ce soit chez nous ou chez vous, nous avons hate de vous rencontrer !!",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,1,5,4.0
6,7,"Hello, I teach philosophy in high school and at the University in Brussels.  Interests: reading, music and nature I have a daughter and I am married to a Czech who is University teacher in Germany.",a few days or more,0-49%,1.0,1.0,"email, phone, reviews",3,3,1125,0.0
7,8,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",1,1,7,4.0
8,9,"Welcome to Brussels! I have lived in two different countries before Belgium. I love traveling, different cultures, good food and good wine. Please don't hesitade to contact me if you need any questions. Enjoy your stay.",within a few hours,100%,2.0,2.0,"email, phone, reviews",1,30,1125,3.0
9,10,"I am an easy going person and love to meet new people. I like to show people around the city I live in, tell them about my culture and even motivate them to visit my home country, Iran :)",within a day,50-89%,2.0,2.0,"email, phone, reviews, manual_offline, jumio",1,1,1125,2.0
10,11,"I am an easy going person and love to meet new people. I like to show people around the city I live in, tell them about my culture and even motivate them to visit my home country, Iran :)",within a day,50-89%,2.0,2.0,"email, phone, reviews, manual_offline, jumio",4,2,1125,2.0
11,12,,within an hour,100%,2.0,2.0,"email, phone, reviews",1,1,1125,4.0
12,13,,within an hour,100%,2.0,2.0,"email, phone, reviews",1,1,1125,4.0
13,14,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,2,1125,4.0
14,15,"I love traveling. Most of the time I travel together with my friend Neal. During our traveling we often stay in local guesthouses or at airBNB rentals. And since we also love to meet new people we decided to rent out an extra room in our apartment.  I am a PhD student (gynecological oncology) and spend many hours in the hospital.   If I have the time i like jogging, strolling around in Antwerp and having fun with my friends. Because I really like Scandinavia and can imagine moving there in a few years I started learning Swedish.",unknown,unknown,2.0,2.0,"email, phone, reviews, jumio",1,2,1125,1.0
15,16,"I love traveling. Most of the time I travel together with my friend Neal. During our traveling we often stay in local guesthouses or at airBNB rentals. And since we also love to meet new people we decided to rent out an extra room in our apartment.  I am a PhD student (gynecological oncology) and spend many hours in the hospital.   If I have the time i like jogging, strolling around in Antwerp and having fun with my friends. Because I really like Scandinavia and can imagine moving there in a few years I started learning Swedish.",unknown,unknown,2.0,2.0,"email, phone, reviews, jumio",1,2,1125,1.0
16,17,,within an hour,90-99%,2.0,2.0,"email, phone, facebook, reviews",1,2,15,4.0
17,18,"Salut, Je m'appelle Giel, Je suis moitié flamand, moitié wallon et j'habite Bruxelles, J'aime manger, cuisiner ... j'apprends d'ailleurs à travailler le chocolat, J'ai visité pas mal de pays (d'Europe principalement), et l'Islande reste mon coup de coeur.",unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,2,10,1.0
18,19,,within a day,50-89%,1.0,1.0,"email, phone, reviews",1,3,10,2.0
19,20,,within a day,0-49%,1.0,1.0,"phone, reviews",1,2,100,2.0
20,21,"Je n'ai pas peur de la route, faudrait voir, faut qu'on écoute. Des méandres au creux des reins Et tout ira bien là. Le vent nous emportera",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, government_id",1,2,1125,4.0
21,22,,within an hour,100%,4.0,4.0,"email, phone, reviews",1,5,1125,4.0
22,23,,within an hour,100%,4.0,4.0,"email, phone, reviews",1,5,1125,4.0
23,25,,within an hour,100%,4.0,4.0,"email, phone, reviews",1,5,1125,4.0
24,26,I love inspiring people and inspiring places. I like traveling. I am an artist working in the overlapping domain of  art and science. I am a beekeeper and an herbalist.,within a few hours,100%,1.0,1.0,"email, phone, reviews, jumio, work_email",1,5,1125,3.0
25,27,,within a day,100%,1.0,1.0,"email, phone, reviews, jumio",2,2,1125,2.0
26,28,,a few days or more,0-49%,1.0,1.0,"email, phone, facebook, reviews",2,2,7,0.0
27,29,"Amoureux du voyage et de la culture, nous souhaitons partager et faire découvrir notre pays aux hôtes qui nous ont accueillis durant de nombreuses années !  Qu'ils soient d'Europe, d'Afrique, d'Amérique latine, d'Asie ou des Etats Unis, soyez les bienvenus!  Vous souhaitez connaître la Belgique autrement ou simplement loger à bon prix pas de soucis, nous sommes à votre disposition !",within an hour,100%,1.0,1.0,"email, phone, reviews",1,1,1125,4.0
28,30,I am a designer and researcher living in Brussels.,within a day,100%,1.0,1.0,"email, phone, facebook, reviews, jumio, government_id",2,3,27,2.0
29,31,"French entrepreneur, in BXL since 4y.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, work_email",2,2,1125,4.0
30,32,,within an hour,100%,2.0,2.0,"email, phone, reviews",1,1,7,4.0
31,33,,within an hour,100%,2.0,2.0,"email, phone, reviews",1,1,90,4.0
32,34,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, selfie, government_id, identity_manual",1,3,16,4.0
33,35,"Française mais belge d'adoption depuis quelques années. Je suis une artiste-peintre aux multiples étiquettes! Bienvenu dans mon appartement-atelier, vous verrez on y est très bien!",within an hour,50-89%,1.0,1.0,"email, phone, reviews, jumio",2,28,375,4.0
34,36,,within a day,50-89%,2.0,2.0,"email, phone, facebook, reviews, jumio, government_id",1,2,1125,2.0
35,37,,within a day,50-89%,2.0,2.0,"email, phone, facebook, reviews, jumio, government_id",1,2,1125,2.0
36,38,Hello we're Fanny & Antoine  Fanny is a Print Designer and Antoine is a painter from Hell'o collective,within a day,100%,1.0,1.0,"email, phone, reviews, jumio",2,7,1125,2.0
37,39,"I'm from Brussels. I like sport, traveling. I play and enjoy music.",within an hour,100%,4.0,4.0,"email, phone, reviews, jumio",2,2,1125,4.0
38,40,"I'm from Brussels. I like sport, traveling. I play and enjoy music.",within an hour,100%,4.0,4.0,"email, phone, reviews, jumio",1,2,1125,4.0
39,41,"I'm from Brussels. I like sport, traveling. I play and enjoy music.",within an hour,100%,4.0,4.0,"email, phone, reviews, jumio",1,2,1125,4.0
40,42,"I'm from Brussels. I like sport, traveling. I play and enjoy music.",within an hour,100%,4.0,4.0,"email, phone, reviews, jumio",2,2,1125,4.0
41,43,,within a few hours,90-99%,1.0,1.0,"email, phone, facebook, reviews",1,1,1125,3.0
42,44,-,unknown,unknown,1.0,1.0,"email, phone, reviews",1,1,1125,1.0
43,45,"Passionné d'art et de design, vous retrouverez cette passion dans le loft. I love art and design, you will discover my passion in the loft.",within a few hours,100%,1.0,1.0,"email, phone, reviews, jumio",1,4,1125,3.0
44,46,,unknown,unknown,1.0,1.0,"email, phone, facebook, reviews",1,1,7,1.0
45,47,,within a day,50-89%,2.0,2.0,"email, phone, reviews",5,3,1125,2.0
46,48,,within a day,50-89%,2.0,2.0,"email, phone, reviews",1,3,1125,2.0
47,49,"My name is Inta and originally from Latvia I have been living in Brussels for nearly 3 years now working in the European Parliament. My passion is travelling and I love meeting new people, seeing new places.",within an hour,100%,1.0,1.0,"email, phone, reviews, work_email",3,6,1125,4.0
48,50,,within an hour,100%,1.0,1.0,"phone, facebook, reviews",1,1,3,4.0
49,51,,unknown,unknown,1.0,1.0,"email, phone",1,1,1125,1.0
50,52,I'm an architect. I live and work in Brussels since 2003.  I like the urban complexity of city's and I'm looking for challenges.,within a few hours,100%,1.0,1.0,"email, phone, facebook, reviews, jumio, work_email",2,3,30,3.0
51,53,,within a day,50-89%,2.0,2.0,"email, phone, reviews",1,2,10,2.0
52,54,,within a day,50-89%,2.0,2.0,"email, phone, reviews",3,2,15,2.0
53,55,,within a day,100%,1.0,1.0,"phone, reviews",1,7,1125,2.0
54,56,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,4.0
55,57,,unknown,unknown,1.0,1.0,phone,1,1,30,1.0
56,58,,unknown,unknown,1.0,1.0,"email, phone, reviews",1,5,1125,1.0
57,59,,within an hour,100%,1.0,1.0,"email, phone, google, reviews, jumio, government_id, work_email",1,3,1125,4.0
