property_id,Dutch,English,French,Germany,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,[24-hourcheck-in,accessible-heightbed,airconditioning,babybath,babymonitor,babysitterrecommendations,bathtub,bbqgrill,beachessentials,bedlinens,breakfast,buzzer/wirelessintercom,cabletv,carbonmonoxidedetector,cat(s),changingtable,children’sbooksandtoys,children’sdinnerware,cleaningbeforecheckout,coffeemaker,cookingbasics,crib,disabledparkingspot,dishesandsilverware,dishwasher,dog(s),doorman,doormanentry,dryer,elevatorinbuilding,essentials,ethernetconnection,extrapillowsandblankets,family/kidfriendly,fireextinguisher,fireplaceguards,firmmatress,firstaidkit,flatsmoothpathwaytofrontdoor,freeparkingonpremises,freeparkingonstreet,gameconsole,gardenorbackyard,grab-railsforshowerandtoilet,gym,hairdryer,hangers,heating,highchair,hottub,hotwater,indoorfireplace,internet,iron,keypad,kitchen,laptopfriendlyworkspace,lockbox,lockonbedroomdoor,longtermstaysallowed,luggagedropoffallowed,microwave,otherpet(s),outletcovers,oven,pack’nplay/travelcrib,pathtoentrancelitatnight,patioorbalcony,petsallowed,petsliveonthisproperty,pocketwifi,pool,privatebathroom,privateentrance,privatelivingroom,refrigerator,roll-inshowerwithshowerbenchorchair,room-darkeningshades,safetycard,selfcheck-in,shampoo,singlelevelhome,smartlock,smokedetector,smokingallowed,stairgates,step-freeaccess,stove,suitableforevents,tablecornerguards,translationmissing:en.hosting_amenity_49,translationmissing:en.hosting_amenity_50,tv,washer,washer/dryer,wheelchairaccessible,wideclearancetobed,wideclearancetoshowerandtoilet,widedoorway,widehallwayclearance,windowguards,wirelessinternet],property_scraped_at_host_since,property_last_updated,host_location_belgium_brussels,host_location_belgium_flanders,host_location_belgium_other_regions,host_location_other_countries,host_response_rate,host_nr_listings,host_nr_listings_total,booking_price_covers,booking_min_nights,booking_max_nights,property_beds,responsetime_code,logic_host_verified,extra_beds,reviews_acc,reviews_cleanliness,reviews_checkin,reviews_communication,reviews_location,reviews_value,reviews_per_month,Host Is Superhost,Host Has Profile Pic,Host Identity Verified,Is Location Exact,Instant Bookable,Require Guest Profile Picture,Require Guest Phone Verification,None,target,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,reviews_num,reviews_last,reviews_rating,booking_cancel_policy
1,FALSE,FALSE,TRUE,FALSE,0,1,1,1,1,0,2.47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1271,7,1,0,0,0,100,1,1,1,1,1125,1,2,FALSE,0,10,9,10,10,9,10,1.31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,7,37,67,96,23,2,97,3
2,FALSE,FALSE,TRUE,FALSE,14,0,4,1.5,2,1,2.11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,206,28,0,1,0,0,75,1,1,1,2,15,2,2,FALSE,3,10,10,10,10,8,10,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,0,0,25,25,1,15,100,3
3,TRUE,FALSE,FALSE,FALSE,8,0,2,1,1,1,2.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,206,2,0,1,0,0,100,1,1,1,2,1125,1,1,FALSE,1,10,10,9,9,9,10,0.75,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,75,20,34,55,330,4,5,93,3
4,FALSE,TRUE,FALSE,FALSE,14,1,2,1,1,1,0.93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1274,35,0,0,0,1,100,2,2,1,1,1125,1,1,FALSE,1,10,10,10,10,10,10,6.9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,110,21,46,64,339,109,4,98,3
5,FALSE,TRUE,FALSE,FALSE,14,1,2,1,1,1,1.12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1274,7,0,0,0,1,100,2,2,1,1,1125,1,1,FALSE,1,10,10,10,10,10,10,4.16,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,60,23,50,80,355,61,14,97,3
6,FALSE,FALSE,TRUE,FALSE,14,1,2,2,1,0,1.24,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1270,3,1,0,0,0,100,1,1,2,1,5,1,1,FALSE,0,10,8,10,10,9,10,3.56,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,55,10,40,70,345,7,4,94,2
7,FALSE,FALSE,TRUE,FALSE,14,0,6,1,3,0,4.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1270,90,0,0,0,1,0,1,1,3,3,1125,3,4,FALSE,3,10,9,10,10,10,10,0.13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,139,0,7,37,312,5,130,92,1
8,FALSE,FALSE,TRUE,FALSE,0,1,2,1,1,0,3.58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,202,1,1,0,0,0,100,1,1,1,1,7,1,1,TRUE,1,10,10,10,10,9,10,2.58,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,85,0,0,25,25,14,21,97,3
9,FALSE,TRUE,FALSE,FALSE,0,0,2,1,0,0,1.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1270,21,1,0,0,0,100,2,2,1,30,1125,1,2,FALSE,1,10,10,10,10,9,10,0.19,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,35,0,0,0,127,4,283,100,1
10,FALSE,TRUE,FALSE,FALSE,0,1,2,1.5,1,0,6.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1271,120,1,0,0,0,70,2,2,1,1,1125,1,3,FALSE,1,10,10,9,10,10,10,0.91,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,81,30,60,90,365,2,58,100,3
