property_id,property_zipcode,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance
2,2600,14,0,4,1.5,2.0,1,2.27
3,2018,8,0,2,1.0,1.0,1,2.42
4,2000,14,1,2,1.0,1.0,1,0.75
5,2000,14,1,2,1.0,1.0,1,0.94
6,1060,14,1,2,2.0,1.0,9,1.21
7,1180,14,0,6,1.0,3.0,9,2.05
8,1030,0,1,2,1.0,1.0,0,1.52
9,1000,0,0,2,1.0,0.0,0,1.24
10,1020,0,1,2,1.5,1.0,5,1.97
11,1020,0,0,4,1.5,2.0,5,1.85
12,1050,12,1,2,1.0,1.0,4,1.22
13,1050,0,1,2,1.0,1.0,4,1.15
14,1050,0,0,3,1.0,0.0,4,0.4
15,2000,0,1,2,1.0,1.0,1,0.68
16,2000,0,0,5,1.0,2.0,1,0.77
17,1180,0,0,4,2.0,2.0,9,3.3
18,1000,0,0,2,1.0,1.0,9,1.48
20,2000,0,0,2,1.0,1.0,1,1.13
21,2060,0,0,2,1.0,1.0,6,0.48
22,1030,0,0,2,1.0,1.0,0,2.49
23,1030,0,0,2,1.0,0.0,0,2.49
25,1030,0,0,4,1.0,0.0,0,2.36
26,1000,15,0,2,1.0,0.0,2,0.71
27,1210,0,0,2,1.0,1.0,0,0.98
29,1060,0,0,3,1.0,1.0,9,0.45
30,1000,0,0,2,1.0,1.0,2,0.23
31,1000,0,0,2,1.0,1.0,2,0.63
32,1120,0,1,2,2.0,1.0,0,3.9
33,1120,0,1,2,2.0,1.0,0,4.05
34,1050,0,0,4,1.0,1.0,4,0.85
35,1190,0,0,2,1.0,1.0,9,1.16
36,1180,0,0,4,1.0,2.0,9,3.11
37,1180,0,0,2,1.0,1.0,9,3.15
38,1060,0,0,3,1.0,1.0,9,0.39
39,1210,0,0,6,2.0,3.0,0,1.04
40,1210,14,0,10,4.0,5.0,0,0.91
41,1210,0,0,2,1.0,1.0,0,1.03
42,1210,0,0,2,1.0,1.0,0,0.92
43,2020,0,0,4,1.0,1.0,1,3.52
44,1000,0,0,1,1.0,0.0,2,0.81
45,1000,0,0,5,2.0,3.0,2,0.76
46,1060,0,0,2,1.0,0.0,4,0.94
47,1060,0,0,5,2.5,3.0,4,0.85
48,1000,0,0,4,1.5,2.0,7,2.27
49,1040,0,0,3,1.0,1.0,0,1.82
51,1050,0,0,3,1.5,2.0,4,0.56
52,1020,15,0,2,1.0,1.0,5,0.74
53,1000,14,1,2,1.0,1.0,2,0.27
54,1000,14,0,4,1.0,2.0,2,0.21
55,1000,0,1,1,1.0,1.0,7,2.69
