,language
0,French
1,French
2,Dutch
3,English
4,English
5,French
6,French
7,French
8,English
9,English
10,English
11,French
12,French
13,French
14,English
15,English
16,English
17,French
18,French
19,French
20,German
21,English
22,English
23,English
24,English
25,French
26,German
27,French
28,English
29,French
30,French
31,French
32,French
33,English
34,Dutch
35,French
36,French
37,English
38,English
39,English
40,English
41,Dutch
42,French
43,French
44,Dutch
45,French
46,French
47,English
48,English
49,French
50,English
51,French
52,French
53,French
54,English
55,French
56,English
57,English
58,French
59,French
60,English
61,French
62,French
63,English
64,English
65,French
66,French
67,French
68,French
69,Dutch
70,Dutch
71,Dutch
72,Dutch
73,Dutch
74,Dutch
75,French
76,French
77,English
78,English
79,French
80,English
81,French
82,French
83,French
84,French
85,Dutch
86,Dutch
87,French
88,Dutch
89,French
90,English
91,English
92,French
93,French
94,French
95,English
96,French
97,English
98,English
99,French
100,French
101,English
102,French
103,Dutch
104,French
105,French
106,French
107,English
108,English
109,French
110,French
111,French
112,English
113,English
114,English
115,French
116,English
117,French
118,English
119,French
120,French
121,Dutch
122,English
123,English
124,French
125,French
126,French
127,French
128,French
129,Dutch
130,Dutch
131,French
132,French
133,English
134,Dutch
135,French
136,Dutch
137,Dutch
138,French
139,French
140,French
141,English
142,English
143,English
144,Dutch
145,French
146,French
147,English
148,English
149,French
150,French
151,English
152,Dutch
153,French
154,German
155,French
156,French
157,French
158,French
159,French
160,French
161,French
162,French
163,English
164,English
165,French
166,French
167,French
168,French
169,French
170,French
171,English
172,French
173,English
174,English
175,Dutch
176,French
177,English
178,French
179,Dutch
180,English
181,French
182,French
183,French
184,French
185,French
186,English
187,French
188,Dutch
189,English
190,French
191,French
192,French
193,French
194,French
195,English
196,French
197,French
198,Dutch
199,Dutch
200,French
201,Dutch
202,French
203,French
204,French
205,English
206,French
207,French
208,French
209,English
210,French
211,French
212,French
213,English
214,English
215,English
216,French
217,Dutch
218,French
219,English
220,French
221,English
222,French
223,Dutch
224,English
225,English
226,French
227,English
228,French
229,English
230,English
231,English
232,Dutch
233,English
234,French
235,French
236,Dutch
237,French
238,French
239,French
240,French
241,Dutch
242,English
243,English
244,English
245,Dutch
246,English
247,Dutch
248,French
249,French
250,English
251,French
252,French
253,French
254,English
255,English
256,French
257,English
258,French
259,English
260,German
261,French
262,French
263,French
264,English
265,French
266,English
267,French
268,French
269,French
270,French
271,Dutch
272,French
273,English
274,English
275,English
276,French
277,French
278,French
279,English
280,English
281,English
282,French
283,English
284,English
285,French
286,Dutch
287,Dutch
288,French
289,English
290,English
291,French
292,French
293,French
294,French
295,French
296,French
297,French
298,French
299,French
300,French
301,French
302,French
303,French
304,French
305,French
306,French
307,French
308,French
309,French
310,French
311,French
312,French
313,English
314,French
315,French
316,French
317,French
318,English
319,French
320,French
321,French
322,English
323,French
324,French
325,French
326,English
327,English
328,Dutch
329,French
330,French
331,French
332,French
333,French
334,French
335,French
336,French
337,French
338,French
339,French
340,English
341,French
342,French
343,English
344,French
345,English
346,French
347,Dutch
348,French
349,Dutch
350,English
351,French
352,French
353,French
354,French
355,French
356,English
357,French
358,English
359,French
360,French
361,French
362,French
363,French
364,French
365,French
366,English
367,Dutch
368,English
369,French
370,French
371,English
372,English
373,French
374,French
375,English
376,French
377,English
378,English
379,French
380,French
381,Dutch
382,Dutch
383,English
384,French
