property_id,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance
2,14,0,4,1.5,2.0,1,2.27
3,8,0,2,1.0,1.0,1,2.42
4,14,1,2,1.0,1.0,1,0.75
5,14,1,2,1.0,1.0,1,0.94
6,14,1,2,2.0,1.0,9,1.21
7,14,0,6,1.0,3.0,9,2.05
8,0,1,2,1.0,1.0,0,1.52
9,0,0,2,1.0,0.0,0,1.24
10,0,1,2,1.5,1.0,5,1.97
11,0,0,4,1.5,2.0,5,1.85
12,12,1,2,1.0,1.0,4,1.22
13,0,1,2,1.0,1.0,4,1.15
14,0,0,3,1.0,0.0,4,0.4
15,0,1,2,1.0,1.0,1,0.68
16,0,0,5,1.0,2.0,1,0.77
17,0,0,4,2.0,2.0,9,3.3
18,0,0,2,1.0,1.0,9,1.48
20,0,0,2,1.0,1.0,1,1.13
21,0,0,2,1.0,1.0,6,0.48
22,0,0,2,1.0,1.0,0,2.49
23,0,0,2,1.0,0.0,0,2.49
25,0,0,4,1.0,0.0,0,2.36
26,15,0,2,1.0,0.0,2,0.71
27,0,0,2,1.0,1.0,0,0.98
29,0,0,3,1.0,1.0,9,0.45
30,0,0,2,1.0,1.0,2,0.23
31,0,0,2,1.0,1.0,2,0.63
32,0,1,2,2.0,1.0,0,3.9
33,0,1,2,2.0,1.0,0,4.05
34,0,0,4,1.0,1.0,4,0.85
35,0,0,2,1.0,1.0,9,1.16
36,0,0,4,1.0,2.0,9,3.11
37,0,0,2,1.0,1.0,9,3.15
38,0,0,3,1.0,1.0,9,0.39
39,0,0,6,2.0,3.0,0,1.04
40,14,0,10,4.0,5.0,0,0.91
41,0,0,2,1.0,1.0,0,1.03
42,0,0,2,1.0,1.0,0,0.92
43,0,0,4,1.0,1.0,1,3.52
44,0,0,1,1.0,0.0,2,0.81
45,0,0,5,2.0,3.0,2,0.76
46,0,0,2,1.0,0.0,4,0.94
47,0,0,5,2.5,3.0,4,0.85
48,0,0,4,1.5,2.0,7,2.27
49,0,0,3,1.0,1.0,0,1.82
51,0,0,3,1.5,2.0,4,0.56
52,15,0,2,1.0,1.0,5,0.74
53,14,1,2,1.0,1.0,2,0.27
54,14,0,4,1.0,2.0,2,0.21
55,0,1,1,1.0,1.0,7,2.69
56,15,0,3,1.5,1.0,5,0.67
57,0,1,1,1.0,1.0,4,0.77
58,0,0,4,1.0,1.0,9,0.4
59,0,0,2,1.0,1.0,3,0.75
60,14,0,6,1.0,4.0,6,0.58
61,0,1,2,1.0,1.0,2,1.26
62,0,0,4,1.5,2.0,9,0.57
63,0,1,3,1.0,1.0,7,2.45
64,0,1,2,1.0,1.0,7,2.44
65,0,0,3,1.0,1.0,9,0.63
66,14,0,5,2.0,3.0,3,1.97
67,0,0,3,1.0,1.0,4,1.09
68,14,1,2,1.0,1.0,4,0.97
69,14,0,7,2.0,4.0,4,0.9
70,0,0,2,1.0,1.0,5,1.23
71,0,0,3,1.0,2.0,9,1.07
72,0,0,2,1.0,1.0,1,0.64
73,0,0,2,1.0,1.0,1,0.55
74,0,0,2,1.0,1.0,1,0.54
75,8,0,2,1.0,0.0,1,0.68
76,0,0,2,1.0,0.0,1,0.56
77,0,0,4,1.0,1.0,7,1.26
78,14,1,2,1.0,1.0,4,0.56
79,0,0,4,1.0,1.0,0,0.8
80,0,1,2,0.5,1.0,6,0.88
81,14,0,4,1.0,2.0,9,0.73
82,0,1,2,2.0,1.0,4,1.01
83,0,1,1,1.0,1.0,7,1.56
84,0,0,6,1.0,2.0,2,0.29
85,0,1,4,1.0,1.0,2,0.34
86,0,0,5,1.0,1.0,9,1.05
87,1,1,2,1.0,1.0,1,1.08
88,1,1,2,1.0,1.0,1,1.22
89,0,1,2,2.0,1.0,0,1.55
90,0,1,2,1.0,1.0,2,0.96
91,0,0,4,1.0,2.0,0,0.89
92,0,0,4,1.0,1.0,2,0.61
93,0,0,2,1.0,0.0,2,0.43
94,0,0,4,1.0,2.0,2,1.05
95,0,0,2,1.0,0.0,2,1.23
96,0,1,2,1.0,1.0,2,0.81
97,0,1,2,1.0,1.0,3,2.02
98,0,1,1,1.0,1.0,9,1.6
99,16,2,1,1.0,1.0,7,0.71
100,16,0,2,1.0,0.0,7,0.65
101,0,1,2,1.0,1.0,9,1.73
102,0,0,2,1.0,1.0,2,0.78
103,14,1,2,1.0,1.0,4,0.4
104,0,0,4,1.0,2.0,4,0.65
105,0,0,2,1.0,1.0,9,0.44
106,1,1,2,0.5,1.0,9,0.86
107,0,1,2,1.0,1.0,7,1.13
108,0,0,2,1.0,1.0,0,1.3
109,0,0,4,1.0,2.0,2,1.19
