property_id,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance
1,0,1,1,1.0,1.0,0,2.47
2,14,0,4,1.5,2.0,1,2.11
3,8,0,2,1.0,1.0,1,2.38
4,14,1,2,1.0,1.0,1,0.93
5,14,1,2,1.0,1.0,1,1.12
6,14,1,2,2.0,1.0,0,1.24
7,14,0,6,1.0,3.0,0,4.33
8,0,1,2,1.0,1.0,0,3.58
9,0,0,2,1.0,0.0,0,1.43
10,0,1,2,1.5,1.0,0,6.09
11,0,0,4,1.5,2.0,0,6.07
12,12,1,2,1.0,1.0,0,0.27
13,0,1,2,1.0,1.0,0,0.32
14,0,0,3,1.0,0.0,0,1.26
15,0,1,2,1.0,1.0,1,1.51
16,0,0,5,1.0,2.0,1,1.61
17,0,0,4,2.0,2.0,0,5.11
18,0,0,2,1.0,1.0,0,1.45
19,0,1,2,1.5,1.0,0,1.18
20,0,0,2,1.0,1.0,1,1.83
21,0,0,2,1.0,1.0,1,1.23
22,0,0,2,1.0,1.0,0,4.71
23,0,0,2,1.0,0.0,0,4.61
25,0,0,4,1.0,0.0,0,4.55
26,15,0,2,1.0,0.0,0,2.11
27,0,0,2,1.0,1.0,0,1.37
28,14,0,4,1.0,2.0,1,1.25
29,0,0,3,1.0,1.0,0,2.0
30,0,0,2,1.0,1.0,0,1.28
31,0,0,2,1.0,1.0,0,2.11
32,0,1,2,2.0,1.0,0,6.02
33,0,1,2,2.0,1.0,0,6.14
34,0,0,4,1.0,1.0,0,1.38
35,0,0,2,1.0,1.0,0,2.87
36,0,0,4,1.0,2.0,0,4.84
37,0,0,2,1.0,1.0,0,4.92
38,0,0,3,1.0,1.0,0,2.16
39,0,0,6,2.0,3.0,0,1.31
40,14,0,10,4.0,5.0,0,1.48
41,0,0,2,1.0,1.0,0,1.33
42,0,0,2,1.0,1.0,0,1.45
43,0,0,4,1.0,1.0,1,4.0
44,0,0,1,1.0,0.0,0,1.37
45,0,0,5,2.0,3.0,0,2.25
46,0,0,2,1.0,0.0,0,1.2
47,0,0,5,2.5,3.0,0,0.86
48,0,0,4,1.5,2.0,0,3.95
49,0,0,3,1.0,1.0,0,1.29
50,0,1,2,1.0,1.0,0,1.69
51,0,0,3,1.5,2.0,0,0.61
52,15,0,2,1.0,1.0,0,3.95
53,14,1,2,1.0,1.0,0,1.32
54,14,0,4,1.0,2.0,0,1.37
55,0,1,1,1.0,1.0,0,4.55
56,15,0,3,1.5,1.0,0,4.04
57,0,1,1,1.0,1.0,0,0.47
58,0,0,4,1.0,1.0,0,2.06
59,0,0,2,1.0,1.0,0,4.31
60,14,0,6,1.0,4.0,1,1.17
61,0,1,2,1.0,1.0,0,2.6
62,0,0,4,1.5,2.0,0,1.9
63,0,1,3,1.0,1.0,0,5.01
64,0,1,2,1.0,1.0,0,5.04
65,0,0,3,1.0,1.0,0,2.04
66,14,0,5,2.0,3.0,0,5.15
67,0,0,3,1.0,1.0,0,1.48
68,14,1,2,1.0,1.0,0,1.42
69,14,0,7,2.0,4.0,0,1.35
70,0,0,2,1.0,1.0,0,4.21
71,0,0,3,1.0,2.0,0,2.32
72,0,0,2,1.0,1.0,1,1.42
73,0,0,2,1.0,1.0,1,1.37
74,0,0,2,1.0,1.0,1,1.32
75,8,0,2,1.0,0.0,1,1.47
76,0,0,2,1.0,0.0,1,1.38
77,0,0,4,1.0,1.0,0,2.95
78,14,1,2,1.0,1.0,0,1.47
79,0,0,4,1.0,1.0,0,1.55
80,0,1,2,0.5,1.0,1,0.83
81,14,0,4,1.0,2.0,0,1.76
82,0,1,2,2.0,1.0,0,0.71
83,0,1,1,1.0,1.0,0,2.91
84,0,0,6,1.0,2.0,0,1.36
85,0,1,4,1.0,1.0,0,1.37
86,0,0,5,1.0,1.0,0,3.35
87,1,1,2,1.0,1.0,1,1.29
88,1,1,2,1.0,1.0,1,1.42
