property_ID,booking_availability_30,booking_availability_60,booking_availability_90,booking_availability_365,reviews_num,reviews_last,reviews_rating,booking_cancel_policy
1,7,37,67,96,23,2,97,3
2,0,0,25,25,1,15,100,3
3,20,34,55,330,4,5,93,3
4,21,46,64,339,109,4,98,3
5,23,50,80,355,61,14,97,3
6,10,40,70,345,7,4,94,2
7,0,7,37,312,5,130,92,1
8,0,0,25,25,14,21,97,3
9,0,0,0,127,4,283,100,1
10,30,60,90,365,2,58,100,3
11,30,60,90,358,14,127,92,1
12,4,26,46,321,42,2,100,1
13,13,43,73,346,28,2,94,1
14,0,7,37,127,8,22,77,3
15,0,0,0,0,51,286,96,2
16,0,0,0,0,3,341,100,2
17,13,20,38,38,24,8,97,3
18,0,0,0,0,4,450,100,3
19,0,8,36,36,4,9,100,3
20,22,52,82,172,8,25,83,3
21,0,5,7,80,32,1,99,3
22,8,22,36,65,16,11,89,1
23,1,25,55,145,4,128,95,3
24,8,22,42,43,9,19,87,1
25,0,0,9,9,5,326,100,3
26,0,5,35,310,4,540,100,2
27,0,0,11,11,12,31,95,3
28,6,24,46,321,138,6,77,1
29,6,24,54,54,1,126,100,1
30,10,39,69,159,26,2,98,2
31,28,58,88,88,18,5,89,3
32,1,1,18,19,5,10,92,3
33,0,0,0,0,2,9,100,1
34,0,0,29,304,11,13,98,2
35,5,35,65,156,20,137,95,2
36,0,11,41,41,0,17295,91.33333333,2
37,0,0,0,0,2,58,100,2
38,5,13,21,232,54,17,93,2
39,4,13,27,271,0,17295,94.33333333,2
40,14,42,64,336,130,26,93,2
41,11,36,58,330,128,22,93,2
42,28,58,88,220,1,15,100,2
43,0,0,0,0,0,17295,98.66666667,3
44,0,0,0,127,4,336,95,3
45,0,0,0,0,3,366,93,3
46,29,59,89,180,1,129,100,1
47,27,57,87,177,1,18,100,3
48,0,0,0,0,12,19,95,2
49,29,59,89,89,4,16,100,3
50,0,0,0,0,0,17295,98.66666667,3
51,23,53,83,358,87,10,99,2
52,4,4,4,25,21,26,90,3
53,0,0,2,2,3,22,100,1
54,29,59,89,89,3,29,90,3
55,0,0,8,253,3,327,80,3
56,0,0,0,0,0,17295,98.66666667,3
57,0,0,0,0,0,17295,98.66666667,1
58,15,15,24,114,7,48,86,2
59,9,25,40,115,5,9,96,2
60,0,0,1,1,12,11,95,3
61,0,0,0,0,0,17295,98.66666667,3
62,8,21,25,25,8,6,95,2
63,5,14,20,20,7,9,100,2
64,0,6,36,63,1,124,100,2
65,0,0,23,23,17,129,84,1
66,0,0,0,0,1,619,60,3
67,0,0,29,29,1,174,100,3
68,7,24,49,74,13,8,92,3
69,0,0,0,274,0,17294,98.66666667,3
70,0,13,43,318,12,427,80,2
71,5,19,35,192,1,41,100,3
